approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1950,yes,co-op,NA,yes,no,efficiency,2,1,0,5,NA,215000,1000,88,Central Queens,1446
1940,no,co-op,combo,no,no,eat in,1,1,0,3,50,170000,600,94,West Central Queens,564
1961,no,co-op,NA,no,no,efficiency,0,1,0,2,NA,78000,NA,99,Jamaica,543
1985,yes,condo,combo,yes,no,Combo,2,2,0,5,NA,630000,1300,59,North Queens,897.3333333
2015,no,condo,combo,no,no,combo,2,2,0,6,NA,489000,6215,83,North Queens,313.1666667
2010,yes,condo,NA,yes,yes,Combo,2,2,0,4,NA,630000,1172,89,Southwest Queens,463.8333333
1952,yes,co-op,combo,yes,yes,combo,2,1,0,4,50,359888,1000,96,West Central Queens,857
1989,yes,condo,formal,yes,yes,eat in,3,3,0,7,NA,670000,2050,48,North Queens,817
1958,yes,co-op,NA,yes,no,efficiency,3,1,1,5,NA,505000,1035,93,Northwest Queens,1369
1926,yes,co-op,NA,no,no,efficiency,1,1,0,3,40,310000,NA,97,Northwest Queens,757
1975,no,co-op,combo,no,yes,efficiency,1,1,0,3,50,375000,800,54,Southeast Queens,1052
1952,yes,co-op,NA,no,no,efficiency,1,1,0,4,NA,176000,NA,68,Northeast Queens,687
1928,no,co-op,combo,no,no,eat in,1,1,0,3,NA,220000,1000,90,Southwest Queens,775
1989,yes,condo,NA,yes,no,eat in,2,1,0,4,NA,459000,807,96,West Queens,1161.5
2009,no,condo,combo,no,no,eat in,2,2,0,6,NA,565000,1044,97,North Queens,318.5833333
1940,no,co-op,formal,no,no,Combo,3,2,2,5,50,850000,2000,76,West Central Queens,1498
1947,no,co-op,NA,no,no,efficiency,2,1,0,4,40,335000,1000,96,West Queens,1098
1956,no,co-op,NA,no,no,eat in,1,1,0,3,40,352500,1300,35,North Queens,1181
2007,no,condo,combo,no,no,eat in,2,1,1,5,NA,405000,850,80,Central Queens,333
NA,no,co-op,NA,no,no,NA,2,1,0,4,NA,235000,NA,97,North Queens,0
1960,no,co-op,NA,no,no,eat in,2,2,0,6,NA,370000,1250,75,North Queens,1316
1950,yes,co-op,NA,no,no,combo,1,1,0,4,NA,120000,800,77,Southwest Queens,634
1955,yes,co-op,NA,no,no,efficiency,1,1,0,3,NA,128000,NA,78,North Queens,812.5
1972,no,condo,combo,no,yes,eat in,1,1,0,4,NA,475000,874,82,North Queens,1058.333333
1954,no,co-op,combo,no,no,eat in,2,1,0,6,25,130000,NA,79,Jamaica,779
2014,no,condo,combo,no,no,eat in,2,2,0,5,NA,655000,980,99,West Queens,280.8333333
1965,yes,co-op,combo,yes,yes,efficiency,1,1,0,3,35,142000,NA,88,Jamaica,487
1950,yes,co-op,combo,yes,yes,efficiency,1,1,0,3,NA,155000,NA,60,Northeast Queens,655
1959,no,co-op,NA,no,no,eat in,2,1,0,5,NA,190000,1100,75,North Queens,1241
1971,yes,condo,combo,yes,yes,eat in,3,1,1,6,NA,660000,NA,68,Northeast Queens,669
