"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1179",1965,"no",NA,"co-op",NA,"no","66-36 Yellowstone Blvd,  Forest Hills NY, 11375","yes","combo","$1,165 ",2,1,NA,4,NA,NA,NA,NA,NA,92,"11375"
"1180",1985,"yes","$422","condo","other","no","66-60 80th St,  Middle Village NY, 11379",NA,"efficiency kitchen",NA,2,2,NA,5,NA,NA,NA,1300,"$3,491 ",84,"11379"
"1181",1985,"yes","$422","condo","other","no","66-60 80th St,  Middle Village NY, 11379",NA,"efficiency kitchen",NA,2,2,NA,5,NA,NA,NA,1300,"$3,491 ",84,"11379"
"1182",2007,"yes","$373","condo","combo","yes","66-83 70th St,  Middle Village NY, 11379",NA,"efficiency kitchen",NA,2,2,NA,5,NA,NA,NA,NA,"$911",77,"11379"
"1183",1956,"no",NA,"co-op","combo","no","66-92 Selfridge St,  Forest Hills NY, 11375",NA,"efficiency kitchen","$597",1,1,NA,3,NA,50,NA,600,NA,91,"11375"
"1184",1955,"yes",NA,"co-op",NA,"no","67-04 197 St,  Fresh Meadows NY, 11365",NA,"efficiency kitchen","$584",1,1,NA,3,"$125",NA,NA,NA,NA,69,"11365"
"1185",1950,"yes",NA,"co-op","combo","yes","67-06 224 Street,  Bayside NY, 11364",NA,"efficiency kitchen","$908",2,1,NA,4,NA,NA,NA,NA,NA,71,"11364"
"1186",1955,"yes",NA,"co-op","formal","yes","67-07 Yellowstone Blvd,  Forest Hills NY, 11375","yes","efficiency kitchen","$913",2,1,NA,5,"$130",NA,NA,1000,NA,90,"11375"
"1187",1955,"yes",NA,"co-op","combo","no","67-12 Yellowstone Blvd,  Forest Hills NY, 11375","yes","combo","$632",1,1,NA,3,"$185",50,NA,750,NA,92,"11375"
"1188",1950,"no",NA,"co-op","formal","no","67-12 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"efficiency kitchen","$534",1,1,NA,3,NA,NA,NA,NA,NA,92,"11375"
"1189",1950,"yes",NA,"co-op","combo","yes","67-25 Clyde St Forest-Hills NY, 11375","yes","efficiency kitchen","$929",2,1,NA,5,"$120",NA,NA,NA,NA,92,"11375"
"1190",1950,"yes",NA,"co-op","formal","no","67-27 Bell Blvd,  Bayside NY, 11364",NA,"eatin","$500",2,1,NA,5,"$11",65,NA,NA,NA,76,"11364"
"1191",1955,"no",NA,"co-op","combo","no","67-30 Dartmounth St,  Forest Hills NY, 11375",NA,"eatin","$1,103 ",2,1,1,5,NA,NA,NA,NA,NA,93,"11375"
"1192",1945,"no",NA,"co-op","combo","no","67-38 108 St,  Forest Hills NY, 11375",NA,"eatin","$805",1,1,NA,3,"$189",NA,NA,NA,NA,90,"11375"
"1193",1949,"no",NA,"co-op",NA,"no","67-38 108th St,  Forest Hills NY, 11375",NA,"combo","$679",1,1,NA,2,"$189",32,NA,NA,NA,90,"11375"
"1194",1947,"no",NA,"co-op","formal","no","67-38 108th Street,  Forest Hills NY, 11375",NA,"efficiency kitchen","$1,410 ",3,2,NA,5,"$189",NA,NA,NA,NA,90,"11375"
"1195",1951,"yes",NA,"co-op","other","yes","67-40 Yellowstone Blvd,  Forest Hills NY, 11375","yes","eatin","$493",1,1,NA,3,NA,38,NA,NA,NA,92,"11375"
"1196",1955,"yes",NA,"co-op","formal","yes","67-41 150th St,  Flushing NY, 11367",NA,"efficiency","$658",1,1,NA,3,NA,NA,NA,700,NA,88,"11367"
"1197",1960,"no",NA,"co-op",NA,"no","67-41 BURNS ST FOREST HILLS NY 11375",NA,"efficiency kitchen","$429",NA,1,NA,1,NA,NA,NA,500,NA,94,"11375"
"1198",1950,"no","$336","condo","combo","no","67-63 Cloverdale Ln,  Bayside NY, 11364",NA,"eatin","$2,127 ",2,1,NA,4,NA,NA,NA,NA,NA,48,"11364"
