"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"307",1950,"yes",NA,"co-op","formal","yes","118-60 Metropolitan Ave,  Kew Gardens NY, 11415","yes","combo","$591",1,1,NA,3,"$120",40,"$147,000 ",850,NA,91,"11415"
"308",1954,"yes",NA,"co-op",NA,"yes","97-40 62 Dr,  Rego Park NY, 11374",NA,"efficiency","$412",0,1,NA,2,NA,50,"$147,000 ",NA,NA,95,"11374"
"309",1965,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"efficiency","$708",1,1,NA,3,NA,NA,"$222,000 ",NA,NA,97,"11375"
"310",1948,"no","$308","condo","combo","no","43-33 48th St,  Sunnyside NY, 11104",NA,"eat in",NA,1,1,NA,3,NA,NA,"$415,500 ",743,"$234",98,"11104"
"311",1948,"yes",NA,"co-op","combo","yes","Jamaica Hills NY, 11432",NA,"Combo","$1,312 ",2,1,NA,5,"$75",NA,"$240,000 ",NA,NA,78,"11432"
"312",1952,"no",NA,"co-op","combo","no","140-14 28th Rd,  Flushing NY, 11354",NA,"Eat In","$770",3,1,NA,5,NA,NA,"$265,000 ",NA,NA,85,"11354"
"313",1951,"no",NA,"co-op","combo","no","34-43 60 St,  Woodside NY, 11377",NA,"eat in","$465",0,1,NA,2,NA,NA,"$175,000 ",NA,NA,96,"11377"
"314",1952,"yes","$391","condo","combo","yes","56-36 184th St,  Flushing NY, 11365",NA,"eat in",NA,2,1,NA,4,NA,NA,"$499,888 ",801,"$3,524 ",85,"11365"
"315",NA,"yes",NA,"co-op",NA,"yes","34-41 78th Street, Jackson Heights, NY 11372",NA,"eat in","$494",0,1,NA,3,NA,NA,"$210,000 ",NA,NA,96,"11372"
"316",1970,"yes",NA,"co-op",NA,"no","18-05 215 St,  Bayside NY, 11360","yes","efficiency","$1,147 ",1,1,NA,4,"$135",NA,"$400,000 ",NA,NA,76,"11360"
"317",1990,"yes","$192","condo",NA,"yes","48-19 92nd St,  Elmhurst NY, 11373",NA,"Combo",NA,1,1,NA,3,NA,NA,"$365,000 ",610,"$1,748 ",93,"11373"
"318",2005,"yes","$457","condo","combo","yes","76-18 69th Pl,  Glendale NY, 11385",NA,"eat in",NA,2,2,NA,3,NA,NA,"$440,000 ",900,"$625",70,"11385"
"319",2001,"no","$503","condo","combo","no","72-35 Metropolitan Ave,  Middle Village NY, 11379",NA,"efficiency",NA,2,2,NA,5,NA,NA,"$450,000 ",NA,"$1,421 ",82,"11379"
"320",1941,"yes",NA,"co-op","formal","yes","Jackson Heights NY, 11372",NA,"eat in","$594",1,1,NA,3,NA,NA,"$305,000 ",NA,NA,98,"11372"
"321",1961,"no",NA,"co-op","formal","no","220-55 46th Avenue UNIT 4C,  Bayside NY, 11361",NA,"Combo","$1,361 ",2,2,NA,5,NA,41,"$500,000 ",1150,NA,64,"11361"
"322",1950,"yes",NA,"co-op","formal","yes","136-59 68th Dr,  Kew Garden Hills NY, 11367",NA,"efficiency","$788",1,1,NA,3,NA,NA,"$167,500 ",NA,NA,67,"11367"
"323",1955,"yes",NA,"co-op","other","yes","67-11 Yellowstone Blvd,  Forest Hills NY, 11375","Yes","eat in","$673",1,1,NA,3,"$120",50,"$260,000 ",NA,NA,92,"11375"
"324",1975,"no",NA,"co-op",NA,"no","26910 Grand Central Pky,  Floral Park NY, 11005","Yes","efficiency","$1,381 ",1,1,1,4,"$87",50,"$490,000 ",1010,NA,54,"11005"
"325",1941,"yes",NA,"co-op","combo","yes","40-01 Little Neck Pky,  Little Neck NY, 11363","Yes","eat in","$1,149 ",2,1,NA,5,NA,42,"$269,000 ",NA,NA,79,"11363"
"326",1958,"yes",NA,"co-op","combo","yes","139-15 83 Ave,  Briarwood NY, 11435","Yes","efficiency","$740",1,1,NA,3,"$70",50,"$158,000 ",750,NA,85,"11435"
"327",1950,"no",NA,"co-op","combo","no","47-21 215 Pl,  Bayside NY, 11361",NA,"efficiency","$676",1,1,NA,3,NA,52,"$155,000 ",NA,NA,88,"11361"
"328",1950,"no",NA,"co-op","combo","no","32-23 88th St,  Jackson Heights NY, 11370","Yes","efficiency","$706",2,1,NA,5,"$45",NA,"$263,000 ",998,NA,93,"11370"
"329",1950,"yes",NA,"co-op","dining area","no","163-58 17th Avenue, Whitestone, NY 11357",NA,"efficiency","$780",1,1,NA,3,NA,NA,"$190,000 ",NA,NA,81,"11357"
"330",NA,"no",NA,"co-op","other","no","92-31 57th Ave,  Elmhurst NY, 11373",NA,"1955","$763",2,1,NA,6,NA,NA,"$325,000 ",NA,NA,97,"11373"
"331",1962,"yes",NA,"co-op","formal","no","166-25 Powells Cove Blvd,  Beechhurst NY, 11357",NA,"Combo","$2,047 ",2,2,NA,5,"$133",NA,"$575,000 ",1650,NA,40,"11357"
"332",1961,"no",NA,"co-op","combo","no","54-40 Little Neck Park,  Little Neck NY, 11362",NA,"efficiency","$695",1,1,NA,3,NA,NA,"$155,000 ",NA,NA,76,"11362"
"333",1960,"yes",NA,"co-op",NA,"yes","81-19 156 Ave,  Howard Beach NY, 11414",NA,"efficiency","$544",1,1,NA,3,"$14",NA,"$130,000 ",NA,NA,68,"11414"
"334",1965,"yes",NA,"co-op","combo","no","151-31 88 St,  Howard Beach NY, 11414",NA,"eat in","$708",2,1,NA,4,"$21",NA,"$150,000 ",NA,NA,77,"11414"
"335",1951,"yes",NA,"co-op","combo","no","163-28 17 Ave,  Whitestone NY, 11357",NA,"efficiency","$949",2,1,NA,5,NA,NA,"$210,000 ",NA,NA,78,"11357"
"336",2008,"no","$271","condo",NA,"no","69-07 43rd Ave,  Woodside NY, 11377",NA,NA,NA,2,2,NA,4,NA,NA,"$545,000 ",898,"$2,148 ",92,"11377"
"337",2008,"no","$359","condo","combo","no","37-59 61th St,  Woodside NY, 11377",NA,"Combo",NA,2,2,NA,6,NA,NA,"$568,000 ",700,"$663",96,"11377"
"338",2004,"yes","$289","condo","formal","no","133-38 Avery Ave,  Flushing NY, 11355",NA,"eat in",NA,1,2,NA,4,NA,NA,"$470,000 ",800,"$1,300 ",96,"11355"
"339",1949,"yes",NA,"co-op","combo","yes","Bayside NY, 11364",NA,"eat in","$637",2,1,NA,4,NA,NA,"$225,000 ",NA,NA,65,"11364"
"340",2007,"no","$230","condo","other","no","66-83 70 St,  Middle Village NY, 11379",NA,"efficiency",NA,1,1,NA,4,NA,NA,"$380,000 ",NA,"$1,500 ",77,"11379"
"341",1952,"yes","$390","condo",NA,"yes","56-35 175th Pl,  Fresh Meadows NY, 11365","eys","eat in",NA,2,1,NA,5,NA,NA,"$428,500 ",NA,"$3,084 ",82,"11365"
"342",1960,"no","$426","condo",NA,"no","240-02 70th Ave,  Douglaston NY, 11362",NA,"efficiency",NA,1,1,1,5,NA,NA,"$438,000 ",NA,"$2,800 ",23,"11362"
"343",1953,"no",NA,"co-op",NA,"no","84-50 169 St,  Jamaica Hills NY, 11432",NA,"efficiency","$661",1,1,NA,3,"$85",50,"$134,000 ",575,NA,83,"11432"
"344",1973,"no",NA,"co-op","combo","no","118-17 Union Tpke, Forest Hills NY, 11375","yes","efficiency","$570",0,1,NA,2,"$185",50,"$159,000 ",550,NA,92,"11375"
"345",1948,"no",NA,"co-op","combo","no","255-61 75th Ave,  Glen Oaks NY, 11004",NA,"Combo","$630",2,1,NA,5,NA,NA,"$240,000 ",800,NA,86,"11004"
"346",2010,"yes","$309","condo","combo","yes","95-08 65th Rd,  Rego Park NY, 11374",NA,"efficiency",NA,2,2,NA,4,NA,NA,"$585,000 ",763,"$163",94,"11374"
"347",1974,"no",NA,"co-op","combo","no","118-18 Union Tpke,  Kew Gardens NY, 11415",NA,"efficiency","$601",0,1,NA,2,NA,NA,"$125,000 ",NA,NA,93,"11415"
"348",1954,"no",NA,"co-op",NA,"no","70-20 108th Street,  Forest Hills NY, 11375",NA,"eat in","$996",2,1,NA,4,"$172",NA,"$449,000 ",NA,NA,99,"11375"
"349",1965,"yes","$358","condo",NA,"yes","84-29 153 Ave,  Howard Beach NY, 11414",NA,"efficiency",NA,1,1,NA,4,"$30",NA,"$174,000 ",NA,"$2,982 ",76,"11414"
"350",1950,"yes",NA,"co-op","dining area","no","17-01 160th Street, Whitestone, NY 11357",NA,"efficiency","$756",1,1,NA,3,NA,NA,"$165,500 ",NA,NA,80,"11357"
"351",1940,"yes",NA,"co-op","combo","yes","77-12 Vleigh Pl,  Flushing NY, 11367",NA,"combo","$905",2,1,NA,4,NA,NA,"$225,000 ",NA,NA,87,"11367"
"352",1975,"no",NA,"co-op","formal","no","26910 Grand Central Pky,  Floral Park NY, 11005",NA,"eat in","$2,250 ",2,2,1,5,"$88",50,"$730,000 ",1500,NA,54,"11005"
"353",1955,"yes",NA,"co-op","formal","no","225-02 88 Ave,  Queens Village NY, 11427",NA,"combo","$644",2,1,NA,4,NA,50,"$155,000 ",NA,NA,72,"11427"
"354",1982,"yes","$1,017 ","condo","combo","no","Bayside NY, 11360",NA,"eat in",NA,2,3,NA,7,NA,NA,"$790,000 ",1419,"$5,807 ",82,"11360"
"355",NA,"no",NA,"co-op","combo","no","102-32 65th Ave,  Forest Hills NY, 11375",NA,"efficiency","$626",1,1,NA,3,NA,NA,"$228,000 ",750,NA,91,"11375"
"356",1960,"no",NA,"co-op","combo","no","149-45 Northern Blvd,  Flushing NY, 11354",NA,"eat in","$480",0,1,NA,2,NA,NA,"$151,500 ",NA,NA,97,"11354"
"357",1988,"no","$626","condo","combo","no","35-20 147 Street, Flushing, NY 11354",NA,"combo",NA,2,1,1,5,NA,NA,"$555,000 ",NA,"$6,224 ",97,"11354"
"358",1965,"no",NA,"co-op","formal","no","110-45 Queens Blvd,  Forest Hills NY, 11375","yes","efficiency","$1,154 ",2,1,NA,5,NA,50,"$518,000 ",1100,NA,98,"11375"
"359",1982,"yes","$275","condo","combo","yes","150-41 Centreville St,  Ozone Park NY, 11417","yes","efficiency",NA,1,2,NA,4,NA,NA,"$200,000 ",NA,"$1,948 ",73,"11417"
"360",1950,"yes",NA,"co-op","combo","no","249-15 61st Ave,  Little Neck NY, 11362",NA,"eat in","$810",2,1,NA,4,NA,NA,"$248,500 ",NA,NA,77,"11362"
"361",1964,"yes",NA,"co-op","combo","no","70-25 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"combo","$667",1,1,NA,3,NA,NA,"$265,000 ",NA,NA,97,"11375"
"362",1950,"no","$715","co-op","other","no","37-50 87 St, St,  Jackson Heights NY, 11372",NA,"combo",NA,2,1,NA,4,NA,NA,"$295,000 ",1000,NA,98,"11372"
"363",1995,"no",NA,"condo","combo","no","241-13B Oak Park Dr,  Douglaston NY, 11362",NA,"efficiency","$344",2,2,NA,5,NA,NA,"$588,000 ",1137,"$2,780 ",15,"11362"
"364",2014,"no","$340","condo","combo","no","41-42 College Point Blvd., Flushing, NY 11355",NA,"eat in","$340",2,2,NA,5,NA,NA,"$600,000 ",870,"$9,300 ",96,"11355"
"365",2008,"no","$212","condo","combo","no","143-36 37 Ave,  Flushing NY, 11354",NA,"efficiency",NA,1,1,NA,4,NA,NA,"$455,000 ",NA,"$111",98,"11354"
"366",1942,"no",NA,"co-op","formal","no","69-10 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eat in","$1,059 ",2,1,NA,5,NA,NA,"$479,000 ",NA,NA,98,"11375"
"367",1953,"no",NA,"co-op","combo","no","112-24 Northern Blvd,  Corona NY, 11368","yes","eat in","$877",2,1,NA,4,NA,NA,"$106,000 ",NA,NA,77,"11368"
"368",1955,"no",NA,"co-op","formal","no","28-02 Parsons Blvd,  Flushing NY, 11354","Yes","eat in","$701",1,1,NA,3,"$35",NA,"$185,000 ",NA,NA,86,"11354"
"369",2008,"no","$480","condo",NA,"no","150-31 12th Ave,  Whitestone NY, 11357",NA,"Combo",NA,2,1,NA,4,NA,NA,"$555,000 ",900,"$1,152 ",92,"11357"
"370",2007,"no","$289","condo","combo","no","31-18 Union St,  Flushing NY, 11354",NA,"eat in",NA,2,2,NA,6,NA,NA,"$612,500 ",NA,"$13",93,"11354"
"371",1957,"no",NA,"co-op","combo","no","143-36 Barclay Ave,  Flushing NY, 11355",NA,"eat in","$869",1,1,NA,3,NA,NA,"$248,000 ",850,NA,96,"11355"
"372",1950,"yes",NA,"co-op","combo","no","252-24 60th Ave,  Little Neck NY, 11362",NA,"efficiency","$849",2,1,NA,5,NA,NA,"$270,000 ",NA,NA,76,"11362"
"373",2006,"yes","$148","condo",NA,"yes","149-23 Sanford Ave,  Flushing NY, 11355",NA,"efficiency",NA,1,1,NA,3,NA,NA,"$295,500 ",450,"$11",92,"11355"
"374",1968,"no","$533","condo","formal","no","140-55 34 Ave,  Flushing NY, 11354",NA,"eat in",NA,2,2,NA,5,"$80",NA,"$639,000 ",1100,"$3,409 ",95,"11354"
"375",2007,"yes","$978","condo","combo","yes","2-40 51st Ave,  Long Island City NY, 11101",NA,"Combo",NA,1,1,NA,3,NA,NA,"$875,000 ",752,"$89",90,"11101"
"376",1950,"no",NA,"co-op","combo","no","83-37 St. James Ave,  Elmhurst NY, 11373",NA,"efficiency","$382",0,1,NA,2,NA,NA,"$185,000 ",550,NA,97,"11373"
"377",1968,"no",NA,"co-op","formal","no","111-20 73 Ave,  Forest Hills NY, 11375","Yes","Eat in","$2,004 ",3,2,NA,6,NA,35,"$767,000 ",1500,NA,97,"11375"
"378",1965,"no",NA,"co-op","formal","no","102-30 66th Road, Forest Hills, NY 11375",NA,"efficiency","$981",1,1,NA,4,NA,50,"$310,000 ",NA,NA,99,"11375"
"379",1965,"no",NA,"co-op","formal","no","18-39 215th St,  Bayside NY, 11360",NA,"eat in","$2,100 ",3,2,1,8,NA,40,"$435,000 ",NA,NA,76,"11360"
"380",1958,"no",NA,"co-op","combo","no","166-10 Powells Cove Blvd,  Whitestone NY, 11357",NA,"eat in","$1,000 ",1,1,NA,3,NA,NA,"$252,500 ",NA,NA,40,"11357"
"381",1950,"no",NA,"co-op","combo","no","82-39 134 St,  Briarwood NY, 11435","Yes","Combo","$503",1,1,NA,3,"$125",NA,"$142,000 ",750,NA,83,"11435"
"382",1964,"no",NA,"co-op","combo","no","67-50 Thornton Pl,  Forest Hills NY, 11375",NA,"eat in","$848",2,1,NA,4,"$120",NA,"$338,888 ",NA,NA,89,"11375"
"383",1952,"yes",NA,"co-op","formal","yes","102-45 67th Rd,  Forest Hills NY, 11375","yes","eat in","$817",1,1,NA,3,"$125",45,"$220,000 ",750,NA,92,"11375"
"384",1958,"yes",NA,"co-op","other","yes","33-64 21st St,  Long Island City NY, 11106",NA,"efficiency","$709",2,1,NA,4,"$500",NA,"$410,000 ",875,NA,93,"11106"
"385",1985,"no","$590","condo","combo","no","3-18 128 St,  College Point NY, 11356","yes","eat in",NA,3,2,1,7,NA,NA,"$580,000 ",1633,"$3,329 ",64,"11356"
"386",2009,"no","$315","condo","combo","no","81-15 Queens Blvd,  Elmhurst NY, 11373",NA,"eat in",NA,2,2,NA,4,NA,NA,"$480,000 ",741,"$686",86,"11373"
"387",1953,"no",NA,"co-op","combo","no","224-24 Union Tpke,  Bayside NY, 11364","yes","efficiency","$1,037 ",2,2,NA,6,NA,NA,"$321,500 ",1100,NA,59,"11364"
"388",1971,"no","$324","condo","combo","no","63-11 Douglaston Parkway, Douglaston, NY 11362","yes",NA,NA,3,2,1,6,NA,NA,"$687,000 ",NA,"$4,200 ",65,"11362"
"389",1949,"yes","$496","condo",NA,"yes","22-10 80th St,  E. Elmhurst NY, 11370",NA,"efficiency",NA,2,1,NA,4,NA,NA,"$445,000 ",821,"$2,475 ",81,"11370"
"390",1927,"no","$353","condo","combo","no","61-05 39th Ave,  Woodside NY, 11377",NA,"eat in",NA,1,1,NA,3,NA,NA,"$445,000 ",712,"$231",96,"11377"
"391",1926,"no","$821","condo",NA,"no","42-20 Kissena Blvd,  Flushing NY, 11355",NA,"eat in",NA,3,2,NA,6,NA,NA,"$830,000 ",2000,"$5,359 ",96,"11355"
"392",1921,"yes",NA,"co-op","formal","no","35-55 78th St,  Jackson Heights NY, 11372",NA,"efficiency","$689",2,1,NA,5,NA,NA,"$575,000 ",NA,NA,99,"11372"
"393",1961,"yes",NA,"co-op","combo","no","54-44 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency","$642",1,1,NA,4,"$95",NA,"$168,000 ",NA,NA,76,"11362"
"394",1950,"yes",NA,"co-op",NA,"no","199-56 21st Ave,  Whitestone NY, 11357",NA,"efficiency","$786",1,1,NA,3,NA,NA,"$155,000 ",NA,NA,78,"11357"
"395",1950,"no",NA,"co-op",NA,"no","81-45 268th St,  Floral Park NY, 11004",NA,"eat in","$585",1,1,NA,3,NA,NA,"$199,900 ",NA,NA,79,"11004"
"396",1965,"yes",NA,"co-op","combo","yes","102-30 66th Road, Forest Hills, NY 11375","yes","efficiency","$1,108 ",2,1,NA,4,"$115",NA,"$435,000 ",1000,NA,92,"11375"
"397",1928,"yes",NA,"co-op",NA,"no","82-06 34 Ave,  Jackson Heights NY, 11372",NA,"eat in","$872",2,1,NA,4,NA,NA,"$432,000 ",900,NA,97,"11372"
"398",1940,"no",NA,"co-op","combo","no","78-16 Main Street St,  Flushing NY, 11367",NA,"efficiency","$854",3,1,NA,5,NA,50,"$268,000 ",975,NA,90,"11367"
"399",2016,"yes","$293","condo","combo","yes","85-15 120 St,  Kew Gardens NY, 11415",NA,"Combo",NA,2,1,1,4,NA,NA,"$471,800 ",787,"$13",93,"11415"
"400",1959,"yes",NA,"co-op","formal","yes","155-19 86 St,  Howard Beach NY, 11414",NA,"efficiency","$713",2,1,NA,5,NA,NA,"$155,000 ",NA,NA,73,"11414"
"401",1950,"no",NA,"co-op",NA,"no","147-29 Grand Central Pky,  Briarwood NY, 11435",NA,"efficiency","$852",1,1,NA,3,NA,NA,"$113,000 ",NA,NA,78,"11435"
"402",1961,"no",NA,"co-op","formal","no","43-25 Douglaston Pkwy,  Douglaston NY, 11363",NA,"efficiency","$707",1,1,NA,3,NA,NA,"$200,000 ",750,NA,79,"11363"
"403",2010,"no","$312","condo","combo","no","144-77 Barclay Avenue, Flushing, NY 11355",NA,"combo",NA,2,2,NA,4,"$200",NA,"$580,000 ",889,"$227",91,"11355"
"404",1965,"yes",NA,"co-op","combo","no","84-20 153rd Ave,  Howard Beach NY, 11414",NA,"efficiency","$520",1,1,NA,2,NA,NA,"$89,000 ",NA,NA,76,"11414"
"405",1951,"yes",NA,"co-op","combo","no","142-15 26th Avenue, Flushing, NY 11354",NA,"efficiency","$714",1,1,NA,3,NA,NA,"$178,000 ",NA,NA,85,"11354"
"406",1950,"no",NA,"co-op",NA,"no","18915 39th Ave,  Flushing NY, 11358",NA,"efficiency","$721",1,1,NA,4,NA,NA,"$151,000 ",NA,NA,83,"11358"
"407",2015,"yes","$220","condo","combo","yes","45-03 20th Rd,  Astoria NY, 11105",NA,"eat in",NA,3,2,NA,7,NA,NA,"$905,000 ",1400,"$360",85,"11105"
"408",1987,"no","$635","condo","other","no","138-35 Elder Ave,  Flushing NY, 11355",NA,"efficiency",NA,2,2,NA,5,NA,NA,"$625,000 ",1000,"$3,936 ",93,"11355"
"409",1997,"no","$195","condo","combo","no","139-87 35 Ave,  Flushing NY, 11354",NA,"eat in",NA,1,1,NA,3,NA,NA,"$403,800 ",NA,"$254",97,"11354"
"410",1929,"no","$395","condo","combo","no","34-20 83th St,  Jackson Heights NY, 11372",NA,"efficiency",NA,1,1,NA,3,NA,NA,"$410,000 ",858,"$2,726 ",99,"11372"
"411",1963,"yes",NA,"co-op",NA,"yes","89-25 Shore Pky,  Howard Beach NY, 11414",NA,"efficiency","$740",1,1,NA,3,NA,NA,"$152,500 ",NA,NA,72,"11414"
"412",1961,"yes",NA,"co-op",NA,"no","54-40 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency","$571",0,1,NA,3,"$95",NA,"$134,000 ",NA,NA,76,"11362"
"413",1950,"yes",NA,"co-op","combo","no","215-37 48 Ave,  Bayside NY, 11364",NA,"combo","$830",2,1,NA,4,NA,NA,"$226,000 ",NA,NA,88,"11364"
"414",1955,"no",NA,"co-op","other","no","33-24 93rd St,  Jackson Heights NY, 11372",NA,"eat in","$477",2,1,1,6,"$90",NA,"$290,000 ",950,NA,96,"11372"
"415",1936,"yes",NA,"co-op","formal","yes","117-01 Park Lane South,  Kew Gardens NY, 11415",NA,"Eat In","$1,154 ",2,2,NA,6,NA,NA,"$415,000 ",1300,NA,84,"11415"
"416",1951,"yes",NA,"co-op","formal","yes","68-06 150th Street, Kew Garden Hills, NY 11367","yes","efficiency","$658",1,1,NA,4,"$100",NA,"$200,000 ",NA,NA,88,"11367"
"417",1942,"yes","$368","condo","formal","yes","80-09 35th Ave,  Jackson Heights NY, 11372",NA,"Combo",NA,1,1,NA,4,NA,NA,"$520,000 ",970,"$2,700 ",98,"11372"
"418",1960,"yes",NA,"co-op","combo","yes","79-04 155th Ave,  Howard Beach NY, 11414",NA,"efficiency","$663",1,1,NA,3,NA,NA,"$95,000 ",NA,NA,69,"11414"
"419",1960,"yes",NA,"co-op","formal","no","83-25 98 St,  Woodhaven NY, 11421",NA,"eat in","$520",1,1,NA,4,NA,NA,"$150,000 ",NA,NA,78,"11421"
"420",1955,"no",NA,"co-op","combo","no","123-25 82 Ave,  Kew Gardens NY, 11415",NA,"Combo","$796",1,1,NA,4,NA,NA,"$175,000 ",780,NA,92,"11415"
"421",1965,"yes",NA,"co-op","formal","yes","102-30 66th Rd,  Forest Hills NY, 11375","yes","efficiency","$1,131 ",1,1,NA,4,"$115",50,"$430,000 ",NA,NA,92,"11375"
"422",1961,"yes",NA,"co-op","combo","no","54-40 Little Neck,  Little Neck NY, 11362",NA,"efficiency","$676",1,1,NA,3,"$95",NA,"$163,000 ",NA,NA,76,"11362"
"423",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"Combo","$821",1,1,NA,3,NA,50,"$430,000 ",918,NA,97,"11372"
"424",1950,"yes",NA,"co-op","combo","yes","81-41 268 St,  Floral Park NY, 11004",NA,"efficiency","$616",1,1,NA,3,NA,NA,"$210,000 ",NA,NA,79,"11004"
"425",1963,"no",NA,"co-op","other","no","209-10 41st Ave,  Bayside NY, 11361",NA,"eat in","$820",2,1,NA,4,NA,50,"$250,000 ",850,NA,85,"11361"
"426",1963,"no",NA,"co-op","combo","no","66-01 Burns St,  Rego Park NY, 11374",NA,"efficiency","$401",0,1,NA,3,NA,NA,"$162,500 ",NA,NA,88,"11374"
"427",1955,"yes",NA,"co-op","other","no","68-61 Yellowstone Blvd,  Forest Hills NY, 11375","Yes","efficiency","$995",2,1,NA,4,NA,50,"$410,000 ",1000,NA,94,"11375"
"428",1953,"yes",NA,"co-op","formal","no","245-22 62nd Ave,  Douglaston NY, 11362",NA,"eat in","$996",2,1,NA,5,NA,35,"$280,000 ",NA,NA,67,"11362"
"429",1935,"yes",NA,"co-op","formal","yes","175-06 Devonshire Rd,  Jamaica Estates NY, 11432",NA,"eat in","$795",1,1,NA,4,NA,NA,"$180,000 ",800,NA,86,"11432"
"430",2016,"no","$153","condo","combo","no","71-59 160th Street, Flushing, NY 11355",NA,"eat in",NA,1,1,NA,3,NA,NA,"$293,000 ",477,"$106",86,"11355"
"431",2016,"no","$173","condo","combo","no","71-59 160 St,  Flushing NY, 11355",NA,"eat in",NA,1,1,NA,3,NA,NA,"$250,000 ",541,"$120",86,"11355"
"432",2006,"no","$250","condo","combo","no","42-38 Judge Street, Elmhurst, NY 11373",NA,"eat in",NA,2,2,NA,4,NA,NA,"$438,000 ",NA,"$248",95,"11373"
"433",1940,"yes",NA,"co-op","other","yes","73-12 35th Ave,  Jackson Heights NY, 11372",NA,"combo","$1,088 ",2,1,NA,4,NA,50,"$572,500 ",980,NA,97,"11372"
"434",1963,"no","$285","condo","combo","no","152-72 Melbourne Ave,  Flushing NY, 11367",NA,"Combo",NA,0,1,NA,2,NA,NA,"$288,888 ",NA,"$2,617 ",85,"11367"
"435",1987,"no","$687","condo","combo","no","87-30 62nd Ave,  Rego Park NY, 11374","Yes","efficiency",NA,2,1,1,5,NA,NA,"$380,000 ",906,"$4,920 ",91,"11374"
"436",1989,"yes",NA,"condo","formal","yes","120-01 Riviera Ct,  College Point NY, 11356",NA,"Eat In",NA,3,2,NA,6,NA,NA,"$600,000 ",NA,"$4,549 ",48,"11356"
"437",1950,"no",NA,"co-op","combo","no","251-44 71st Ave,  Bellerose NY, 11426",NA,"eat in","$676",1,1,NA,3,NA,NA,"$159,000 ",NA,NA,55,"11426"
"438",1960,"no",NA,"co-op","formal","no","155-14 84 St,  Howard Beach NY, 11414",NA,"efficiency","$713",2,1,NA,5,NA,NA,"$132,000 ",NA,NA,77,"11414"
"439",1960,"yes",NA,"co-op","combo","no","241-20 Northern Blvd,  Douglaston NY, 11363",NA,"eat in","$901",1,1,NA,3,NA,57,"$203,000 ",800,NA,80,"11363"
"440",1950,"no",NA,"co-op","formal","no","105-25 65th Ave,  Forest Hills NY, 11375","Yes","Eat In","$678",1,1,NA,3,"$150",50,"$290,000 ",NA,NA,89,"11375"
"441",2005,"no","$531","condo","combo","no","76-18 69th Pl,  Glendale NY, 11385",NA,"efficiency",NA,2,2,NA,4,NA,NA,"$512,000 ",943,NA,70,"11385"
"442",1953,"no",NA,"co-op","combo","no","113-15 34th Ave,  Corona NY, 11368",NA,"efficiency","$748",1,1,NA,4,NA,NA,"$79,000 ",650,NA,77,"11368"
"443",1947,"yes",NA,"co-op","formal","yes","150-45 Village Rd,  Kew Garden Hills NY, 11415",NA,"efficiency","$1,366 ",2,1,NA,5,"$75",NA,"$223,000 ",NA,NA,85,"11415"
"444",1956,"no",NA,"co-op","combo","no","66-92 Selfridge, Forest Hills, NY 11375","yes","eat in","$595",1,1,NA,3,"$145",20,"$205,000 ",NA,NA,91,"11375"
"445",1960,"no",NA,"co-op","combo","no","71-11 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eat in","$679",0,1,NA,3,NA,NA,"$175,000 ",500,NA,94,"11375"
"446",1962,"no",NA,"co-op",NA,"no","220-55 46th Ave,  Bayside NY, 11361",NA,"eat in","$949",1,1,NA,4,"$62",40,"$300,000 ",750,NA,64,"11361"
"447",1984,"no","$462","condo","combo","no","210-19 26 Ave,  Bayside NY, 11360","yes","efficiency",NA,1,1,NA,4,NA,NA,"$510,000 ",NA,"$3,305 ",85,"11360"
"448",1950,"no",NA,"co-op",NA,"no","67-25 Clyde St,  Forest Hills NY, 11375",NA,"eat in","$713",1,1,NA,3,NA,NA,"$219,000 ",NA,NA,92,"11375"
"449",1942,"yes","$345","condo","combo","yes","80-09 35th Ave,  Jackson Heights NY, 11372",NA,"efficiency",NA,2,1,NA,4,NA,NA,"$530,000 ",922,"$3,866 ",98,"11372"
"450",1958,"no",NA,"co-op","formal","no","16-61 212 St,  Bayside NY, 11360",NA,"efficiency","$733",2,1,NA,5,"$20",NA,"$308,000 ",NA,NA,72,"11360"
"451",1950,"no",NA,"co-op","combo","no","73-07 220th Street, Oakland Gardens, NY 11364",NA,"eat in","$646",2,1,NA,4,NA,NA,"$230,000 ",NA,NA,70,"11364"
"452",1961,"yes",NA,"co-op","combo","no","54-40 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency","$666",1,1,NA,4,NA,NA,"$148,000 ",NA,NA,76,"11362"
